Date, Change Cases, Change Fatalities, Change Tests, Change Hospitalizations, Change Criticals, Change Recoveries, Total Cases, Total Fatalities, Total Tests, Total Hospitlizations, Total Criticals, Total Recoveries
2020-01-25, 1, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0
 2020-01-26, 1, 0, 4, 0, 0, 0, 2, 0, 6, 0, 0, 0
 2020-01-27, 1, 0, 20, 0, 0, 0, 2, 0, 26, 0, 0, 0
 2020-01-28, 1, 0, 10, 0, 0, 0, 3, 0, 36, 0, 0, 0
 2020-01-29, 1, 0, 3, 0, 0, 0, 3, 0, 39, 0, 0, 0
 2020-01-30, 2, 0, 26, 0, 0, 0, 3, 0, 65, 0, 0, 0
 2020-01-31, 1, 0, 33, 0, 0, 0, 4, 0, 98, 0, 0, 0
 2020-02-01, 1, 0, 23, 0, 0, 0, 4, 0, 121, 0, 0, 0
 2020-02-02, 1, 0, 24, 0, 0, 0, 4, 0, 145, 0, 0, 0
 2020-02-03, 1, 0, 16, 0, 0, 0, 4, 0, 161, 0, 0, 0
 2020-02-04, 1, 0, 56, 0, 0, 0, 4, 0, 217, 0, 0, 0
 2020-02-05, 2, 0, 50, 0, 0, 0, 5, 0, 267, 0, 0, 0
 2020-02-06, 2, 0, 35, 0, 0, 0, 7, 0, 302, 0, 0, 0
 2020-02-07, 4, 0, 63, 0, 0, 0, 7, 0, 365, 0, 0, 0
 2020-02-08, 4, 0, 41, 0, 0, 0, 7, 0, 406, 0, 0, 0
 2020-02-09, 3, 0, 30, 0, 0, 0, 7, 0, 436, 0, 0, 0
 2020-02-10, 6, 0, 10, 0, 0, 0, 7, 0, 446, 0, 0, 0
 2020-02-11, 1, 0, 37, 0, 0, 0, 7, 0, 483, 0, 0, 0
 2020-02-12, 13, 0, 70, 0, 0, 0, 7, 0, 553, 0, 0, 0
 2020-02-13, 7, 0, 55, 0, 0, 0, 7, 0, 608, 0, 0, 0
 2020-02-14, 6, 0, 91, 0, 0, 0, 8, 0, 699, 0, 0, 0
 2020-02-15, 6, 1, 44, 0, 0, 0, 8, 0, 743, 0, 0, 0
 2020-02-16, 13, 0, 12, 0, 0, 0, 8, 0, 755, 0, 0, 0
 2020-02-17, 17, 0, 29, 0, 0, 0, 8, 0, 784, 0, 0, 0
 2020-02-18, 22, 1, 4, 0, 0, 0, 8, 0, 788, 0, 0, 0
 2020-02-19, 41, 0, 101, 0, 0, 0, 8, 0, 889, 0, 0, 0
 2020-02-20, 40, 0, 57, 0, 0, 0, 9, 0, 946, 0, 0, 0
 2020-02-21, 58, 0, 65, 0, 0, 0, 9, 0, 1011, 0, 0, 0
 2020-02-22, 84, 0, 45, 0, 0, 0, 9, 0, 1056, 0, 0, 0
 2020-02-23, 100, 3, 44, 0, 0, 0, 10, 0, 1100, 0, 0, 0
 2020-02-24, 155, 3, 17, 0, 0, 0, 11, 0, 1117, 0, 0, 0
 2020-02-25, 130, 1, 61, 0, 0, 0, 11, 0, 1178, 0, 0, 0
 2020-02-26, 146, 3, 76, 0, 0, 0, 12, 0, 1254, 0, 0, 0
 2020-02-27, 214, 1, 230, 0, 0, 0, 14, 0, 1484, 0, 0, 0
 2020-02-28, 244, 5, 134, 0, 0, 0, 16, 0, 1618, 0, 0, 0
 2020-02-29, 189, 3, 182, 0, 0, 0, 20, 0, 1800, 0, 0, 0
 2020-03-01, 639, 3, 105, 0, 0, 7, 24, 0, 1905, 0, 0, 7
 2020-03-02, 661, 3, 122, 0, 0, 0, 27, 0, 2027, 0, 0, 7
 2020-03-03, 590, 8, 1201, 0, 0, 0, 33, 0, 3228, 0, 0, 7
 2020-03-04, 634, 4, 398, 0, 0, 0, 34, 0, 3626, 0, 0, 7
 2020-03-05, 713, 16, 679, 0, 0, 1, 47, 0, 4305, 0, 0, 8
 2020-03-06, 898, 6, 640, 0, 0, 0, 54, 0, 4945, 0, 0, 8
 2020-03-07, 681, 5, 1002, 0, 0, 0, 60, 0, 5947, 0, 0, 8
 2020-03-08, 1112, 24, 1112, 0, 0, 0, 66, 1, 7059, 0, 0, 8
 2020-03-09, 1143, 36, 755, 1, 0, 1, 79, 1, 7814, 1, 0, 9
 2020-03-10, 1599, 19, 1898, 1, 0, 0, 96, 1, 9712, 2, 0, 9
 2020-03-11, 1588, 25, 1625, 0, 0, 0, 117, 2, 11337, 2, 0, 9
 2020-03-12, 1199, 53, 2458, 0, 0, 0, 158, 2, 13795, 2, 0, 9
 2020-03-13, 1429, 49, 4200, 2, 1, 1, 197, 2, 17995, 4, 1, 10
 2020-03-14, 1536, 30, 4086, 2, 1, 0, 253, 2, 22081, 6, 2, 10
 2020-03-15, 1226, 51, 5331, 0, 0, 0, 337, 2, 27412, 6, 2, 10
 2020-03-16, 1398, 64, 6053, 8, 0, 0, 433, 5, 33465, 14, 2, 10
 2020-03-17, 1291, 55, 9344, 5, 4, 0, 587, 8, 42809, 19, 6, 10
 2020-03-18, 1549, 70, 9999, 9, 8, 1, 717, 9, 52808, 28, 14, 11
 2020-03-19, 1312, 74, 12336, 11, 2, 2, 862, 12, 65144, 39, 16, 13
 2020-03-20, 1234, 74, 8396, 10, 8, 2, 1074, 13, 73540, 49, 24, 15
 2020-03-21, 1119, 56, 10421, 16, 7, 1, 1317, 18, 83961, 65, 31, 16
 2020-03-22, 1344, 76, -145, 8, 4, 2, 1506, 21, 83816, 73, 35, 18
 2020-03-23, 1470, 145, 19648, 27, 9, 94, 2145, 24, 103464, 100, 44, 112
 2020-03-24, 1346, 104, 9699, 50, 20, 74, 2806, 27, 113163, 150, 64, 186
 2020-03-25, 1729, 201, 23788, 23, 8, 11, 3396, 35, 136951, 173, 72, 197
 2020-03-26, 1883, 94, 14425, 40, 10, 31, 4030, 39, 151376, 213, 82, 228
 2020-03-27, 1531, 162, 10785, 44, 7, 126, 4743, 55, 162161, 257, 89, 354
 2020-03-28, 1668, 112, 24689, 34, 36, 147, 5641, 61, 186850, 291, 125, 501
 2020-03-29, 1815, 118, 19901, 35, 17, 84, 6322, 66, 206751, 326, 142, 585
 2020-03-30, 1526, 152, 14379, 77, 15, 529, 7434, 90, 221130, 403, 157, 1114
 2020-03-31, 1971, 155, 18316, 76, 8, 183, 8577, 126, 239446, 479, 165, 1297
 2020-04-01, 1866, 167, 18286, 44, 9, 439, 10176, 145, 257732, 523, 174, 1736
 2020-04-02, 1629, 158, 19504, 467, 188, 235, 11764, 170, 277236, 990, 362, 1971
 2020-04-03, 1420, 163, 23037, 136, 35, 352, 12963, 223, 300273, 1126, 397, 2323
 2020-04-04, 1628, 119, 17214, 87, 27, 456, 14392, 272, 317487, 1213, 424, 2779
 2020-04-05, 1603, 145, 14048, 56, 31, 321, 15928, 302, 331535, 1269, 455, 3100
 2020-04-06, 1445, 140, 13270, 79, 31, 516, 17154, 353, 344805, 1348, 486, 3616
 2020-04-07, 1683, 176, 11012, 79, 19, 434, 18552, 417, 355817, 1427, 505, 4050
 2020-04-08, 1573, 146, 13566, 37, 18, 603, 19843, 472, 369383, 1464, 523, 4653
 2020-04-09, 1961, 228, 14046, 71, 38, 658, 21392, 542, 383429, 1535, 561, 5311
 2020-04-10, 1578, 148, 15273, 91, -19, 702, 22704, 616, 398702, 1626, 542, 6013
 2020-04-11, 2602, 114, 15489, 67, 19, 637, 23938, 690, 414191, 1693, 561, 6650
 2020-04-12, 1447, 210, 16163, 96, 9, 522, 25057, 746, 430354, 1789, 570, 7172
 2020-04-13, 1264, 188, 15299, 80, 6, 563, 26401, 822, 445653, 1869, 576, 7735
 2020-04-14, 1486, 180, 19140, 63, -5, 500, 27871, 967, 464793, 1932, 571, 8235
 2020-04-15, 1504, 175, 15837, 69, -11, 744, 29217, 1071, 480630, 2001, 560, 8979
 2020-04-16, 1466, 155, 22165, 42, -20, 750, 30946, 1272, 502795, 2043, 540, 9729
 2020-04-17, 1245, 125, 19457, 82, -6, 813, 32829, 1366, 522252, 2125, 534, 10542
 2020-04-18, 1171, 165, 25800, 51, 58, 665, 34360, 1528, 548052, 2176, 592, 11207
 2020-04-19, 1181, 131, 23719, -50, -76, 636, 36028, 1640, 571771, 2126, 516, 11843
 2020-04-20, 1164, 183, 19912, 56, 11, 743, 37843, 1758, 591683, 2182, 527, 12586
 2020-04-21, 1175, 127, 19676, 117, 4, 602, 39369, 1910, 611359, 2299, 531, 13188
 2020-04-22, 1206, 167, 23461, 64, -13, 798, 41340, 2065, 634820, 2363, 518, 13986
 2020-04-23, 1176, 87, 23678, 148, -5, 775, 43206, 2232, 658498, 2511, 513, 14761
 2020-04-24, 1240, 118, 27092, 65, 27, 780, 44835, 2390, 685590, 2576, 540, 15541
 2020-04-25, 1131, 103, 25241, 67, -7, 884, 46255, 2553, 710831, 2643, 533, 16425
 2020-04-26, 1064, 57, 25830, 27, 3, 896, 47883, 2672, 736661, 2670, 536, 17321
 2020-04-27, 1118, 68, 25153, 37, -20, 947, 49486, 2817, 761814, 2707, 516, 18268
 2020-04-28, 1080, 125, 19230, 94, 5, 827, 50931, 2957, 781044, 2801, 521, 19095
 2020-04-29, 1173, 117, 29497, 39, 1, 1232, 52614, 3133, 810541, 2840, 522, 20327
 2020-04-30, 1204, 93, 27702, 55, -16, 1090, 54187, 3279, 838243, 2895, 506, 21417
 2020-05-01, 1200, 104, 32634, 49, -11, 1334, 56148, 3507, 870877, 2944, 495, 22751
 2020-05-02, 962, 69, 30717, -27, -1, 1050, 57726, 3655, 901594, 2917, 494, 23801
 2020-05-03, 1020, 120, 31930, 48, 5, 1107, 60328, 3769, 933524, 2965, 499, 24908
 2020-05-04, 969, 98, 27213, -5, -8, 1109, 61775, 3979, 960737, 2960, 491, 26017
 2020-05-05, 900, 123, 20919, 109, -1, 976, 63039, 4167, 981656, 3069, 490, 26993
 2020-05-06, 994, 105, 32631, 4, -11, 1178, 64525, 4347, 1014287, 3073, 479, 28171
 2020-05-07, 934, 83, 33535, -6, 12, 1076, 66029, 4522, 1047822, 3067, 491, 29247
 2020-05-08, 776, 97, 31467, -9, -25, 979, 67495, 4677, 1079289, 3058, 466, 30226
 2020-05-09, 816, 215, 36731, -18, -12, 1023, 68740, 4802, 1116020, 3040, 454, 31249
 2020-05-10, 806, 29, 28522, -67, -14, 847, 69911, 4967, 1144542, 2973, 440, 32096
 2020-05-11, 672, 72, 25865, 69, -13, 898, 71092, 5098, 1170407, 3042, 427, 32994
 2020-05-12, 688, 100, 24438, -1, -12, 1042, 72256, 5281, 1194845, 3041, 415, 34036
 2020-05-13, 625, 140, 28585, 23, 3, 1128, 73431, 5408, 1223430, 3064, 418, 35164
 2020-05-14, 681, 61, 32851, -38, -13, 927, 74637, 5575, 1256281, 3026, 405, 36091
 2020-05-15, 535, 72, 35234, -67, -3, 804, 75813, 5662, 1291515, 2959, 402, 36895
 2020-05-16, 707, 27, 35540, -77, -14, 924, 77053, 5780, 1327055, 2882, 388, 37819
 2020-05-17, 593, 32, 32146, -43, -6, 731, 78184, 5883, 1359201, 2839, 382, 38550
 2020-05-18, 457, 60, 22929, 40, 0, 688, 79248, 5940, 1382130, 2879, 382, 39238
 2020-05-19, 482, 64, 16554, -219, -5, 812, 80366, 6008, 1398684, 2660, 377, 40050
 2020-05-20, 439, 36, 17998, -24, -8, 726, 81446, 6133, 1416682, 2636, 369, 40776
 2020-05-21, 446, 54, 25774, -17, -15, 434, 82619, 6250, 1442456, 2619, 354, 41210
 2020-05-22, 459, 59, 26666, -52, -8, 1384, 83823, 6343, 1469122, 2567, 346, 42594
 2020-05-23, 371, 35, 27853, -82, -10, 711, 85023, 6447, 1496975, 2485, 336, 43305
 2020-05-24, 353, 29, 27687, -56, 4, 680, 85985, 6516, 1524662, 2429, 340, 43985
 2020-05-25, 326, 41, 24572, -34, 8, 653, 87005, 6636, 1549234, 2395, 348, 44638
 2020-05-26, 392, 35, 22256, -35, -6, 701, 87974, 6734, 1571490, 2360, 342, 45339
 2020-05-27, 382, 47, 28889, -27, 11, 825, 88874, 6857, 1600379, 2333, 353, 46164
 2020-05-28, 438, 45, 30051, -63, -21, 676, 89868, 6962, 1630430, 2270, 332, 46840
 2020-05-29, 379, 60, 39788, -70, -13, 619, 90802, 7045, 1670218, 2200, 319, 47459
 2020-05-30, 305, 14, 40037, -87, -17, 644, 91578, 7142, 1710255, 2113, 302, 48103
 2020-05-31, 345, 12, 33447, -23, 2, 776, 92394, 7357, 1743702, 2090, 304, 48879
 2020-06-01, 357, 18, 22942, -18, 0, 596, 93200, 7386, 1766644, 2072, 304, 49475
 2020-06-02, 320, 31, 36816, 8, 1, 869, 93872, 7458, 1803460, 2080, 305, 50344
 2020-06-03, 365, 22, 33694, -46, -3, 691, 94560, 7558, 1837154, 2034, 302, 51035
 2020-06-04, 254, 11, 36790, -91, -19, 691, 95185, 7698, 1873944, 1943, 283, 51726
 2020-06-05, 338, 26, 39735, -81, -19, 829, 95866, 7759, 1913679, 1862, 264, 52555
 2020-06-06, 383, 11, 37509, -128, -4, 1046, 96401, 7831, 1951188, 1734, 260, 53601
 2020-06-07, 387, 17, 27988, -48, -1, 619, 97108, 7858, 1979176, 1686, 259, 54220
 2020-06-08, 280, 22, 35237, -28, -7, 582, 97701, 7890, 2014413, 1658, 252, 54802
 2020-06-09, 240, 28, 32718, -21, -5, 757, 98158, 7950, 2047131, 1637, 247, 55559
 2020-06-10, 308, 23, 35764, -73, 3, 1067, 98640, 8014, 2082895, 1564, 250, 56626
 2020-06-11, 324, 22, 42991, -86, -2, 1019, 99079, 8050, 2125886, 1478, 248, 57645
 2020-06-12, 261, 8, 46076, -37, -15, 865, 99525, 8104, 2171962, 1441, 233, 58510
 2020-06-13, 276, 9, 41658, -85, -8, 831, 99984, 8163, 2213620, 1356, 225, 59341
 2020-06-14, 318, 9, 39998, -97, -25, 918, 100355, 8198, 2253618, 1259, 200, 60259
 2020-06-15, 204, 17, 35266, -16, 0, 770, 100708, 8227, 2288884, 1243, 200, 61029
 2020-06-16, 313, 22, 33096, -52, -10, 401, 101034, 8268, 2321980, 1191, 190, 61430
 2020-06-17, 323, 10, 37217, -61, -11, 375, 101426, 8303, 2359197, 1130, 179, 61805
 2020-06-18, 323, 14, 48506, -88, -15, 678, 101808, 8350, 2407703, 1042, 164, 62483
 2020-06-19, 249, 8, 45153, -79, -5, 507, 102246, 8395, 2452856, 963, 159, 62990
 2020-06-20, 320, 8, 43225, -44, 0, 485, 102625, 8455, 2496081, 919, 159, 63475
 2020-06-21, 490, 10, 34186, -61, 6, 398, 102930, 8469, 2530267, 858, 165, 63873
 2020-06-22, 303, 9, 30878, -13, -19, 448, 103275, 8481, 2561145, 845, 146, 64321
 2020-06-23, 344, 12, 45866, 23, 1, 370, 103632, 8499, 2607011, 868, 147, 64691
 2020-06-24, 448, 18, 38280, -26, -5, 387, 103952, 8530, 2645291, 842, 142, 65078
 2020-06-25, 471, 8, 42622, -15, -5, 334, 104317, 8552, 2687913, 827, 137, 65412
 2020-06-26, 205, 7, 48623, -19, -13, 301, 104571, 8563, 2736536, 808, 124, 65713
 2020-06-27, null, null, 49405, -25, -10, 247, 104909, 8589, 2785941, 783, 114, 65960
 2020-06-28, null, null, 39209, -43, -6, 218, 105292, 8600, 2825150, 740, 108, 66178
 2020-06-29, null, null, 37906, 15, -2, 987, 105679, 8617, 2863056, 755, 106, 67165
 2020-06-30, null, null, 49463, -39, -11, 414, 105959, 8639, 2912519, 716, 95, 67579
 2020-07-01, null, null, 34478, -5, -3, 340, 106199, 8667, 2946997, 711, 92, 67919
 2020-07-02, null, null, 48896, -108, -5, 415, 106507, 8690, 2995893, 603, 87, 68334
 2020-07-03, null, null, 40129, 27, 0, 346, 106831, 8712, 3036022, 630, 87, 68680
 2020-07-04, null, null, 36527, -18, -8, 313, 107092, 8720, 3072549, 612, 79, 68993
 2020-07-05, null, null, 33456, -17, -2, 251, 107368, 8729, 3106005, 595, 77, 69244
 2020-07-06, null, null, 27516, -20, -5, 313, 107686, 8738, 3133521, 575, 72, 69557
 2020-07-07, null, null, 45107, -14, -2, 313, 107890, 8755, 3178628, 561, 70, 69870
 2020-07-08, null, null, 36340, -28, 2, 364, 108203, 8777, 3214968, 533, 72, 70234
 2020-07-09, null, null, 43218, -27, -2, 320, 108526, 8787, 3258186, 506, 70, 70554
 2020-07-10, null, null, 45196, 4, 3, 323, 108849, 8801, 3303382, 510, 73, 70877
 2020-07-11, null, null, 47763, -1, -6, 455, 109098, 8809, 3351145, 509, 67, 71332
 2020-07-12, null, null, 38812, -19, 0, 240, 109418, 8817, 3389957, 490, 67, 71572
 2020-07-13, null, null, 46963, 20, 2, 256, 109908, 8827, 3436920, 510, 69, 71828
 2020-07-14, null, null, 44908, 7, 2, 329, 110211, 8836, 3481828, 517, 71, 72157
 2020-07-15, null, null, 41334, -26, -6, 315, 110555, 8848, 3523162, 491, 65, 72472
 2020-07-16, null, null, 47277, -9, -6, 23999, 111003, 8866, 3570439, 482, 59, 96471
 2020-07-17, null, null, 50473, -16, 3, 204, 111474, 8874, 3620912, 466, 62, 96675
 2020-07-18, null, null, 40227, -15, 2, 220, 111679, 8881, 3661139, 451, 64, 96895
